title,publisher,author,year
Experimental Methods For Science And Engineering Students: An Introduction To The Analysis And Presentation Of Data,Cambridge University Press,Les Kirkup,2019
Data Science. Наука о данных с нуля,БХВ-Петербург,Джоэл Грас,2021
"Business Intelligence, Analytics, and Data Science: A Managerial Perspective",Pearson,"Ramesh Sharda, Dursun Delen, Efraim Turban",2017
The Data Science Handbook,leanpub.com,"Carl Shan, Henry Wang, William Chen, Max Song",2015
Data Science For Dummies,John Wiley & Sons,Lillian Pierson,2015
Executive Data Science: A Guide To Training And Managing The Best Data Scientists,lulu.com,"Brian Caffo, Roger D. Peng, Jeffrey T. Leek",2018
"Data Science Projects with Python, Second Edition",Packt Publishing,Stephen Klosterman,2021
"Data, models, and decisions: the fundamentals of management science",South-Western College Pub.,"Dimitris Bertsimas, Robert Michael Freund",2000
Supervised and Unsupervised Learning for Data Science,Springer International Publishing,"Michael W. Berry, Azlinah Mohamed, Bee Wah Yap",2020
"The Python Bible 7 in 1: Volumes One To Seven (Beginner, Intermediate, Data Science, Machine Learning, Finance, Neural Networks, Computer Vision)",nan,"Dedov, Florian",2020
Introduction to Data Science Data Analysis and Prediction Algorithms with R,CRC Press,Rafael A. Irizarry,2019
Python: 3 books in 1 : Python basics for Beginners + Python Automation Techniques And Web Scraping + Python For Data Science And Machine Learning,nan,"Vickler, Andy",2021
Data Science for Business and Decision Making,Academic Press,"Luiz Paulo Fávero, Patrícia Belfiore",2019
Introduction to Quantitative Data Analysis in the Behavioral and Social Sciences,John Wiley & Sons,Michael J. Albers,2017
Statistical Inference for Data Science - A Companion to the Coursera Statistical Inference Course,nan,Brian Caffo,2015
"Analytics, data science, & artificial intelligence : systems for decision support",Pearson,"Dursun Delen, Ramesh Sharda, Efraim Turban",2020
Data Science with SQL Server Quick Start Guide,Packt Publishing,Dejan Sarka,2018
"Big Data: Concepts, Warehousing, and Analytics (River Publishers Series in Information Science and Technology)",River Publishers,"Maribel Yasmina Santos, Carlos Costa",2020
Data Science with Java: Practical Methods for Scientists and Engineers,O’Reilly Media,Michael R. Brzustowicz,2017
Practical Data Science Cookbook: 89 hands-on recipes to help you complete real-world data science projects in R and Python,Packt Publishing,"Tony Ojeda, Sean Patrick Murphy, Benjamin Bengfort, Abhijit Dasgupta",2014
Data Reduction and Error Analysis for the Physical Sciences,McGraw-Hill Science/Engineering/Math,"Philip Bevington, D. Keith Robinson",2002
"Data Science mit Python: Das Handbuch für den Einsatz von IPython, Jupyter, NumPy, Pandas, Matplotlib und Scikit-Learn",MITP-Verlags,Jake VanderPlas,2017
Hands-on data science for marketing: improve your marketing strategies with machine learning using Python and R,Packt Publishing,"Hwang, Yoon Hyup",2019
"Advanced Object-Oriented Programming in R: Statistical Programming for Data Science, Analysis and Finance",Apress,Thomas Mailund,2017
Hands-On Data Science with R: Techniques to perform data manipulation and mining to build smart analytical models using R,Packt Publishing,"Vitor Bianchi Lanzetta, Nataraj DasGupta, Ricardo Anjoleto Farias",2018
Python for Data Science: A Hands-On Introduction,No Starch Press,Yuli Vasiliev,2022
"R for Data Science: Import, Tidy, Transform, Visualize, and Model Data",O’Reilly Media,"Hadley Wickham, Garrett Grolemund",2017
The Enterprise Big Data Lake: Delivering the Promise of Big Data and Data Science,O'Reilly Media,Alex Gorelik,2019
"Machine Learning and Data Science in the Oil and Gas Industry: Best Practices, Tools, and Case Studies",Gulf Professional Publishing,Patrick Bangert,2021
The Python Workshop: Learn to code in Python and kickstart your career in software development or data science,Packt Publishing,"Andrew Bird, Dr Lau Cher Han, Mario Corchero Jimenez, Graham Lee, Corey Wade",2019
Foundational Python for Data Science,Addison-Wesley Professional,Kennedy Behrman,2021
"Python for Beginners: Start Right Now to Learn Computer Programming with the Best Crash Course. Improve your Skills with Machine Learning, Data Analysis and Data Science",nan,"Chan, Ben",2020
"Python Data Science Essentials - Third Edition: A Beginner’s Guide Covering Essential Data Science Principles, Tools, and Techniques",Packt Publishing,Luca Massaron & Alberto Boschetti [Luca Massaron],2018
Network Science with Python and NetworkX Quick Start Guide: Explore and visualize network data effectively,Packt Publishing,Edward L. Platt,2019
"ARTIFICIAL INTELLIGENCE BUSINESS APPLICATIONS: How to Learn Applied Artificial Intelligence and Use Data Science for Business. Includes Data Analytics, Machine Learning for Business and Python",nan,"FORD, WILLIAM J.",2020
Data Science from Scratch with Python: Step-by-Step Guide,nan,"Peter Morgan [Morgan, Peter]",2018
Data Science with Python and Dask,Manning Publications,Jesse C. Daniel,2019
"Machine Learning- The Mastery Bible: The definitive guide to Machine Learning, Data Science, Artificial Intelligence, Neural Networks, and Data Analytics.",nan,"Hanson, Bill",2020
Data Science do zero: Primeiras regras com o Python,Alta Books,Joel Grus,2016
Machine Learning in Production: Developing and Optimizing Data Science Workflows and Applications,Addison-Wesley,"Andrew Kelleher, Adam Kelleher",2019
"Big Data, Cloud Computing, and Data Science Engineering",Springer International Publishing,Roger Lee,2020
Agile Data Science 2.0: Building Full-Stack Data Analytics Applications with Spark,O’Reilly Media,Russell Jurney,2017
Data science using Python and R,John Wiley & Sons,"Larose, Chantal D., Larose, Daniel T",2019
Основы Data Science и Big Data. Python и наука о данных,Питер,"Дэви Силен, Арно Мейсман",2017
Data Science and Predictive Analytics: Biomedical and Health Applications using R,Springer International Publishing,Ivo D. Dinov,2018
Unsupervised Deep Learning in Python: Master Data Science and Machine Learning with Modern Neural Networks written in Python and Theano,LazyProgrammer,LazyProgrammer,2016
Using R For Data Analysis In Social Sciences: A Research Project-oriented Approach,Oxford University Press,"Li, Quan",2019
"Becoming a Data Head: How to Think, Speak, and Understand Data Science, Statistics, and Machine Learning",Wiley,"Alex J. Gutman, Jordan Goldmeier",2021
Python Data Science: After work guide to start learning Data Science on your own. Avoid common beginners mistakes of coding. Approach Panda and NumPy to become a brilliant computer programmer.,nan,"HOOD, CODING, Kölling, Michail",2020
Big Data Science in Finance,Wiley,"Irene Aldridge, Marco Avellaneda",2021
Data Science with Microsoft SQL Server 2016,Microsoft Press,"Buck Woody, Danielle Dean, Debraj GuhaThakurta, Gagan Bansal, Matt Conners and Wee-Hyong Tok",2016
How to Lead in Data Science,Manning Publications,"Jike Chong, Yue Cathy Chang",2021
Data Science in the Cloud: with Microsoft Azure Machine Learning and R,O'Reilly Media,Stephen F. Elston,2015
PYTHON DATA SCIENCE Learn Python in a Week and Master it,nan,coll,2020
Analytical Skills for AI and Data Science: Building Skills for an AI-Driven Enterprise,"O'Reilly Media, Inc, USA",Daniel Vaughan,2020
Python for Beginners: The Crash Course to Learn Python Programming in 3-Days (or less). Master Artificial Intelligence for Data Science and Machine Learning + Practical Exercises,nan,"Khan, Aaron",2020
Data Science and Digital Transformation in the Fourth Industrial Revolution,Springer International Publishing,"Jongbae Kim, Roger Lee",2021
"Data Science Algorithms in a Week: Top 7 algorithms for computing, data analysis, and machine learning",Packt Publishing,David Natingga,2017
Essential Math for Data Science (Third Early Release),"O’Reilly Media, Inc.",Thomas Nield,2021
"Python for Data Science: The Ultimate Step-by-Step Guide to Learn Python In 7 Days & NLP, Data Science from with Python (Master The basics of Data Science and Improve Artificial Intelligence)",nan,"Wilson, Richard",2021
Financial Analytics with R. Building a Laptop Laboratory for Data Science,Cambridge,"Mark J. Bennett, Dirk L. Hugen",2016
Advanced Binary for Programming and Computer Science Logical Bitwise and Arithmetic Operations and Data Encoding and Representation,Answers 2000 Limited,Sunil Tanna,2018
IPython Interactive Computing and Visualization Cookbook: Over 100 hands-on recipes to sharpen your skills in high-performance numerical computing and data science with Python,Packt Publishing,Cyrille Rossant,2014
Data Science for Business Professionals,BPB Publications,Probyto Data Science and Consulting Pvt. Ltd. [Probyto Data Science and Consulting Pvt. Ltd.],2020
Data Science,The MIT Press,"John D. Kelleher, Brendan Tierney",2018
Journal of Financial Data Science,IPR Journals,Marco Lopez de Prado,2019
"Graph Data Science (GDS) For Dummies®, Neo4j Special Edition","John Wiley & Sons, Inc ","Amy Hodler, Mark Needham",2020
Introduction to Machine Learning with Python: A Guide for Beginners in Data Science,AI Sciences LLC,"Daniel Nedal, Peters Morgan",2018
Mathematical Foundations of Data Science Using R,de Gruyter,"Frank Emmert-Streib, Salissou Moutari, Matthias Dehmer",2020
"Python for Data Science: 2 Books in 1. A Practical Beginner’s Guide to learn Python Programming, introducing into Data Analytics, Machine Learning, Web Development, with Hands-on Projects",nan,"THOMPSON, ERICK",2020
"JupyterLab Quick Start Guide: A beginner's guide to the next-gen, web-based interactive computing environment for data science",Packt Publishing,"Lindsay Richman, Melissa Ferrari, Joseph Oladokun, Wesley Banfield, Dan Toomey",2019
Football Hackers: The Science and Art of a Data Revolution,Blink Publishing / Bonnier Books,Christoph Biermann,2019
"Data Science on AWS: Implementing End-to-End, Continuous AI and Machine Learning Pipelines",O'Reilly Media,"Chris Fregly, Antje Barth",2021
Python for Data Science For Dummies,Wiley,"John Paul Mueller, Luca Massaron",2015
"Essentials of Data Science and Analytics: Statistical Tools, Machine Learning, and R-Statistical Software Overview",Business Expert Press,Sahay. Amar (author),2021
"Python for Data Analysis: A Complete Guide for Beginners, Including Python Statistics and Big Data Analysis.",nan,Computer Science Academy,2020
"Metaprogramming in R: Advanced Statistical Programming for Data Science, Analysis and Finance",Apress,Thomas Mailund,2017
Quantitative Economics With R: A Data Science Approach,Springer,Vikram Dayal,2020
Data analysis for the life sciences with R,Chapman and Hall/CRC,"Irizarry, Rafael A., Love, Michael I",2017
Data Science for IoT Engineers: A Systems Analytics Approach,Mercury Learning and Information,"Madhavan Ph.D., P. G.",2022
"Python for Beginners: Comprehensive Guide to the Basics of Programming, Machine Learning, Data Science and Analysis with Python.",nan,"Campbell, Alex",2021
"It's All Analytics!: The Foundations of Al, Big Data and Data Science Landscape for Professionals in Healthcare, Business, and Government",Productivity Press,"Scott Burk, Gary D. Miner",2020
"Data Science on the Google Cloud Platform, 2nd Edition (Third Early Release)","O'Reilly Media, Inc.",Valliappa Lakshmanan,2022
"Jupyter for Data Science: Exploratory analysis, statistical modeling, machine learning, and data visualization with Jupyter",Packt Publishing,Dan Toomey,2017
Data Science Crash Course for Beginners: Fundamentals and Practices with Python,AI Publishing,AI Publishing,2020
Apache Spark 2.x Cookbook: Cloud-ready recipes for analytics and data science,Packt Publishing,Rishi Yadav,2017
Beginning Java Data Structures and Algorithms: Sharpen your problem solving skills by learning core computer science concepts in a pain-free manner,Packt Publishing,James Cutajar,2018
"ProgrammerLazy. SQL for Marketers: Dominate data analytics, data science, and big data. Data Science and Machine Learning in Python",nan,,english
Report Writing for Data Science in R,nan,Roger D. Peng,2015
Data Science Foundations: Geometry and Topology of Complex Hierarchic Systems and Big Data Analytics,Chapman and Hall/CRC,Fionn Murtagh,2017
"Python Data Science Handbook, 2nd Edition (Second Early Release)","O'Reilly Media, Inc.",Jake VanderPlas,2022
Machine Learning in Business - An Introduction to the World of Data Science,Independently published,John Hull,2020
Applied Missing Data Analysis (Methodology In The Social Sciences),nan,Craig K. Enders PhD,2010
Data Communications and Networking,McGraw-Hill Science/Engineering/Math,"Behrouz A Forouzan, Behrouz Forouzan",2003
Nature Inspired Computing for Data Science,Springer,"Minakhi Rout, Jitendra Kumar Rout, Himansu Das (Editors)",2020
Arduino Measurements in Science: Advanced Techniques and Data Projects,Apress,Richard J. Smythe,2021
Data Science in Theory and Practice: Techniques for Big Data Analytics and Complex Data Sets,Wiley,"Mariani, Maria C., Tweneboah, Osei Kofi, Beccar-Varela, Maria Pia",2021
"Data Science from Scratch: The #1 Data Science Guide for Everything A Data Scientist Needs to Know: Python, Linear Algebra, Statistics, Coding, Applications, Neural Networks, and Decision Tree",nan,Cooper Steven,2018
Advances in Data Science: Methodologies and Applications,Springer Internationa,"Gloria Phillips-Wren, Anna Esposito, Lakhmi C. Jain",2021
Introduction to HPC with MPI for Data Science,Springer International Publishing,Frank Nielsen,2016
Data Science on the Google Cloud Platform: Implementing End-to-End Real-Time Data Pipelines: From Ingest to Machine Learning,O'Reilly Media,Valliappa Lakshmanan,2022
The Big Book of Data Science Use Cases,nan,Databricks,2020
Econometrics and Data Science: Apply Data Science Techniques to Model Complex Problems and Implement Solutions,Apress,Tshepo Chris Nokeri,2021
Data Science : Innovative Developments in Data Analysis and Clustering,Springer International Publishing,"Francesco Palumbo, Angela Montanari, Maurizio Vichi (eds.)",2017
Build a Career in Data Science,Manning Publications,"Jacqueline Nolis, Emily Robinson",2020
Python for R users : a data science approach,Wiley,"Ohri, Ajay",2018
Fast Python for Data Science Version 8,Manning Publications,Tiago Rodrigues Antao [Tiago Antão],2022
Productive and Efficient Data Science with Python,Apress,Tirthajyoti Sarkar,2022
Geospatial Data Science Techniques and Applications,CRC Press,"Hassan A. Karimi, Bobak Karimi",2018
"Python Machine Learning: The Ultimate Guide for Beginners to Machine Learning with Python, Programming and Deep Learning, Artificial Intelligence, Neural Networks, and Data Science",nan,"Moore, Richard, Moore, Richard",2019
Basketball Data Science: With Applications in R,CRC Press,"Paola Zuccolotto, Marica Manisera",2020
"Programming for Beginners: 3 Manuscripts: The Complete Guide to Learning Python Crash Course, Python Machine Learning and Python Data Science in a Week",nan,"Lee, Andrew",2021
Audit Analytics: Data Science for the Accounting Profession,Springer International Publishing;Springer,J. Christopher Westland,2020
Statistical Inference via Data Science: A ModernDive into R and the Tidyverse (Chapman & Hall/CRC The R Series),Chapman and Hall/CRC,"Chester Ismay, Albert Y. Kim",2019
Longitudinal and Panel Data: Analysis and Applications in the Social Sciences,nan,Edward W. Frees,2004
Julia for Data Science,Packt Publishing,Anshul Joshi,2016
Fundamentals of Clinical Data Science,Springer Nature,"Pieter Kubben, Michel Dumontier, Andre Dekker",2019
ML Ops: Operationalizing Data Science,"O'Reilly Media, Inc.",David Sweenor & Steven Hillion & Dan Rope & Dev Kannabiran & Thomas Hill & Michael O'Connell [David Sweenor],2020
"Big Data and Artificial Intelligence: Complete Guide to Data Science, AI, Big Data and Machine Learning.",nan,"Weber, Hans",2020
Data Science In Cybersecurity And Cyberthreat Intelligence,Springer,"Leslie F. Sikos, Kim-Kwang Raymond Choo",2020
Human-Centered Data Science: An Introduction,The MIT Press,"Aragon, Cecilia, Guha, Shion, Kogan, Marina, Muller, Michael, Neff, Gina",2022
Python Pandas for Beginners: Pandas Specialization for Data Scientist (Python for Beginners in Data Science and Data Analysis Book 2),AI Publishing LLC,"Publishing, AI",2022
"Python For Data Analysis: The Ultimate and Definitive Manual to Learn Data Science and Coding With Python. Master The basics of Machine Learning, to Clean Code and Improve Artificial Intelligence",Dario Valvo,Matt Algore,2021
Deep Learning Made Easy with R: A Gentle Introduction For Data Science,CreateSpace Independent Publishing Platform,N.D Lewis,2016
"Business Data Science: Combining Machine Learning and Economics to Optimize, Automate, and Accelerate Business Decisions",McGraw-Hill Education,Matt Taddy,2019
"Velocity-Based Training: How to Apply Science, Technology, and Data to Maximize Performance",Human Kinetics,"Signore, Nunzio",2021
PYTHON DATA SCIENCE: The Complete Step-by-Step Python Programming Guide. Learn How to Master Big Data Analysis and Machine Learning (2022 Edition For Beginners),nan,Ivor Osborne,2021
Essential Math for Data Science,O'Reilly,Thomas Nield,2022
Generalized Linear Models for Insurance Data (International Series on Actuarial Science),Cambridge University Press,"Piet de Jong, Gillian Z. Heller",2008
"Arduino in Science: Collecting, Displaying, and Manipulating Sensor Data",Apress,Richard J. Smythe,2021
Introdução a Data Science - Algoritmos de Machine Learning e métodos de análise,Casa do Código,"Tatiana Escovedo, Adriano Koshiyama",2020
Neural data science : a primer with MATLAB and Python,Academic Press,"Nylen, Erik Lee, Wallisch, Pascal",2017
Statistical Analysis Of Empirical Data: Methods For Applied Sciences,Springer,Scott Pardo,2020
Cloud Computing for Data Analysis The missing semester of Data Science,Leanpub book,Noah Gift,2021
"Big Data Analytics for Improved Accuracy, Efficiency, and Decision Making in Digital Marketing",Business Science Reference,Amandeep Singh,2021
Data Science from Scratch: First Principles with Python,O'Reilly Media,Joel Grus,2019
"Data Science in Engineering and Management: Applications, New Developments, and Future Trends",CRC Press,"Zdzislaw Polkowski (editor), Sambit Kumar Mishra (editor), Julian Vasilev (editor)",2022
Big Data in Computational Social Science and Humanities,Springer,Shu-Heng Chen,2018
Python: Real-World Data Science: A course in four modules,Packt Publishing,"Dusty Phillips, Fabrizio Romano, Phuong Vo.T.H, Martin Czygan, Robert Layton",2016
Introduction to Data Science: Essential Concepts,nan,"Peters Morgan [Morgan, Peters]",2018
"Machine Learning for Signal Processing: Data Science, Algorithms, and Computational Statistics","Oxford University Press, USA",Max A. Little,2019
"Principles of High-Performance Processor Design: For High Performance Computing, Deep Neural Networks and Data Science",Springer,Junichiro Makino,2021
"Building Data Science Applications with FastAPI: Develop, manage, and deploy efficient machine learning applications with Python",Packt Publishing,François Voron,2021
"Measurement and Data Analysis for Engineering and Science, Fourth Edition",CRC Press,"Patrick F Dunn, Michael P. Davis",2018
Advanced Multi-industry Applications of Big Data Clustering and Machine Learning,Engineering Science Reference,Fausto Pedro Garcia Marquez (editor),2020
Principles of Data Science: Learn the techniques and math you need to start making sense of your data,Packt Publishing,Sinan Ozdemir,2016
"Essential Math for Data Science: Take Control of Your Data with Fundamental Linear Algebra, Probability, and Statistics, First Edition",O'Reilly Media,Thomas Nield,2022
"Data analysis and statistics for geography, environmental science, and engineering",CRC Press,"Acevedo, Miguel F",2013
30-Second Data Science,Ivy Press,Liberty Vittert,2020
IPython Interactive Computing and Visualization Cookbook : Over 100 hands-on recipes to sharpen your skills in high-performance numerical computing and data science in the Jupyter Notebook,Packt Publishing Limited,Cyrille Rossant,2018
"Data Analysis Methods in Physical Oceanography, Third Edition",Elsevier Science,"Richard E. Thomson, William J. Emery",2014
Data science par la pratique: Fondamentaux avec Python,Eyrolles,Joel Grus,french
Python for Data Science For Dummies,John Wiley & Sons,"John Paul Mueller, Luca Massaron",2015
Introduction to Python in Earth Science Data Analysis From Descriptive Statistics to Machine Learning,Springer Nature Switzerland,Maurizio Petrelli,2021
97 Things About Ethics Everyone in Data Science Should Know,O'Reilly Media,Bill Franks,2020
Data Science. Наука о данных с нуля,БХВ-Петербург,Грас Джоэл,2017
The Data Engineering Cookbook: Mastering The Plumbing Of Data Science,UNKNOWN,YASSINE MOUSAIF,2022
Introduzione a Python. Per l'informatica e la data science. Ediz. MyLab. Con Contenuto digitale per accesso on line,Pearson,"Paul J. Deitel, Harvey M. Deitel, Pietro Codara (editor), Carlo Mereghetti (editor)",2021
Data Science on AWS,"O'Reilly Media, Inc.",Chris Fregly & Antje Barth [Chris Fregly],2021
A Hands-On Introduction to Data Science,Cambridge University Press,Chirag Shah,2020
Advanced Data Science and Analytics With Python,Taylor & Francis Ltd,Jesus Rogel-Salazar,2020
"Logics for Computer and Data Sciences, and Artificial Intelligence",Springer Nature,Lech T. Polkowski,2022
Managing and Visualizing Your BIM Data: Understand the fundamentals of computer science for data visualization,Packt Publishing,"Ernesto Pellegrino, Manuel André Bottiglieri, Gavin Crump, Luisa Cypriano Pieper, Dounia Tou",2021
Fast Python for Data Science (MEAP V03),Manning Publications,Tiago Rodrigues Antão,2021
Data Science Para Leigos,nan,Lillian Pierson,2019
Data Science with Raspberry Pi: Real-Time Applications Using a Localized Cloud,Apress,"Abdul Kadhar, K. Mohaideen, Anand, G.",2021
Data Science Algorithms in a Week - Second Edition,Packt Publishing,David Natingga [David Natingga],2018
Python Data Science: An Ultimate Guide for Beginners to Learn Fundamentals of Data Science Using Python,nan,Christopher  Wilkinson,2020
The Big R-Book: From Data Science to Learning Machines and Big Data,Wiley,Philippe J. S. De Brouwer,2020
500 Most Important Data Science Interview Questions and Answers: Crack That Next Interview With Higher Salary In Less Preparation Time,The Indian Wolf Publications,"Vamsee Puligadda [Puligadda, Vamsee]",2019
IBM SPSS Essentials: Managing and Analyzing Social Sciences Data,Wiley,John T. Kulas,2021
Building an Effective Data Science Practice: A Framework to Bootstrap and Manage a Successful Data Science Practice,Apress,"Vineet Raina, Srinath Krishnamurthy",2021
"Data Science Projects with Python: A case study approach to successful data science projects using Python, pandas, and scikit-learn",Packt Publishing,Stephen Klosterman,2019
"Statistics for data science: leverage the power of statistics for data analysis, classification, regression, machine learning, and neural networks",Packt,"Miller, James D",2017
"Python Machine Learning: The Crash Course for Beginners to Programming and Deep Learning, Artificial Intelligence, Neural Networks and Data Science. Scikit Learn, Tensorflow, Pandas and Numpy.",nan,"Smith, Django",2019
Data Science for Supply Chain Forecasting,De Gruyter,Nicolas Vandeput,2021
The Big Book of Python for Data Analysis: Learn Data Science and Coding With Python: Python Book,Independently published,"Indira Cavagnaro [Cavagnaro, Indira]",2021
Communicating with Data: The Art of Writing for Data Science,OUP Oxford,"Nolan, Deborah, Stoudt, Sara",2021
XML and Web Technologies for Data Sciences with R,Springer-Verlag New York,"Deborah Nolan, Duncan Temple Lang (auth.)",2014
"Learn Computer Science with Swift: Computation Concepts, Programming Paradigms, Data Management, and Modern Component Architectures with Swift and Playgrounds",Apress,Jesse Feiler,2018
Numsense! Data Science for the Layman (No Math Added),nan,Annalyn Ng and Kenneth Soo,2017
Building Data Science Solutions with Anaconda: A comprehensive starter guide to building robust and complete models,nan,DAN. MEADOR,2022
Fundamentals of Data Science,Chapman and Hall/CRC,"Sanjeev J. Wagh, Manisha S. Bhende, Anuradha D. Thakare",2021
Chemometrics : data driven extraction for science,John Wiley & Sons,"Brereton, Richard G",2018
The Art of Data Science: A Guide for Anyone Who Works with Data,nan,Roger D. Peng & Elizabeth Matsui,english
"Python project for beginners: Python at your fingertips! Learn, create, experiment, and don't miss the current programming language. Introduction to data science, coding, and analysis.",nan,"Chamberlin, Eric",2020
"Data Science in Chemistry: Artificial Intelligence, Big Data, Chemometrics and Quantum Computing with Jupyter",De Gruyter,Thorsten Gressling,2020
Data Science: guida ai principi e alle tecniche base della scienza dei dati,Apogeo,Sinan Ozdemir,2017
Agile data science: building data analytics applications with Hadoop,O'Reilly Media,Russell Jurney,2013
"Data Science: Theory, Algorithms, and Applications (Transactions on Computer Systems and Networks)",Springer,"Gyanendra K. Verma (editor), Badal Soni (editor), Salah Bourennane (editor), Alexandre C. B. Ramos (editor)",2021
"Beginning Data Science, IoT, and AI on Single Board Computers: Core Skills and Real-World Application with the BBC micro:bit and XinaBox",Apress,"Philip Meitiner, Pradeeka Seneviratne",2020
"Data Science on AWS: Implementing End-to-End, Continuous AI and Machine Learning Pipelines",O'Reilly Media,"Chris Fregly, Antje Barth",2021
Data Science and Digital Business,Springer International Publishing,"Fausto Pedro García Márquez, Benjamin Lev",2019
Data Science: Create Teams That Ask the Right Questions and Deliver Real Value,Apress,Doug Rose (auth.),2016
Python Programming: Learn the Basics and get into Data Science,nan,T.L.John,2021
"Python for Beginners: The Absolute Beginners Guide to Python Programming, Data Science and Predictive Model. A Practical Introduction to Object Oriented Programming Language",nan,Django Smith,2019
Regression Models for Data Science in R: Statistical inference for data science.,UNKNOWN,"MOUSAIF, YASSINE",2022
"Artificial Intelligence, Machine Learning, and Data Science Technologies: Future Impact and Well-Being for Society 5.0 (Demystifying Technologies for Computational Excellence)",CRC Press,", , , ",2021
Physics of Data Science and Machine Learning,CRC Press,"Rauf, Ijaz A.",2021
Effective Data Science Infrastructure,Manning Publications,Ville Tuulos,2022
Python Data Science Essentials,Packt Publishing,"Alberto Boschetti, Luca Massaron",2018
"Data Science: The Ultimate Guide to Data Analytics, Data Mining, Data Warehousing, Data Visualization, Regression Analysis, Database Querying, Big Data for Business and Machine Learning for Beginners",nan,"Herbert Jones [Jones, Herbert]",2018
"PYTHON PROGRAMMING: 3 MANUSCRIPTS CRASH COURSE CODING WITH PYTHON DATA SCIENCE. THE STEP BY STEP GUIDE FOR BEGINNERS TO MASTER SOFTWARE PROJECTS, ALGORITHMS, TRICKS AND TIPS",nan,"Tacke, John, Matthes, Adrienne Hawke",2020
Data Science – was ist das eigentlich?!: Algorithmen des maschinellen Lernens verständlich erklärt,Springer Berlin Heidelberg,"Annalyn Ng, Kenneth Soo",2018
The Field Guide to Data Science: 2nd Edition,UNKNOWN,"MOUSAIF, YASSINE",2022
Quantitative Methods of Data Analysis for the Physical Sciences and Engineering,Cambridge University Press,Douglas G. Martinson,2018
R for Data Science: Learn and explore the fundamentals of data science with R,Packt Publishing,Dan Toomey,2014
Python data science handbook: essential tools for working with data,O'Reilly Media,"VanderPlas, Jacob T",2017
Big Data Science in Finance,John Wiley & Sons,Irene Aldridge and Marco Avellaneda,2020
Big Data and Social Science: Data Science Methods and Tools for Research and Practice,Chapman and Hall/CRC,"Ian Foster (editor), Rayid Ghani (editor), Ron S. Jarmin (editor), Frauke Kreuter (editor), Julia Lane (editor)",2020
Python: Real-World Data Science,Packt Publishing,Sebastian Raschka & Robert Layton & Martin Czygan & Phuong Vo.T.H & Fabrizio Romano & Dusty Phillips [Sebastian Raschka],2016
Statistique et Data Science Avec R,Université Rennes 2,François Husson,2018
Data Science for Mathematicians,CRC Press,Nathan Carter,2020
R for Health Data Science,Taylor & Francis Limited,Ewen Harrison & Riinu Pius,2020
Public Policy Analytics: Code and Context for Data Science in Government,CRC Press,Ken Steif,2021
Analytical Skills for AI and Data Science: Building Skills for an AI-Driven Enterprise,O'Reilly Media,Daniel Vaughan,2020
Data science in R : a case studies approach to computational reasoning and problem solving,CRC Press,"Lang, Duncan Temple, Nolan, Deborah",2015
"It's All Analytics - Part II: Designing an Integrated AI, Analytics, and Data Science Architecture for Your Organization",Productivity Press,"Scott Burk, David Sweenor, Gary Miner",2021
"Data-Driven Science and Engineering: Machine Learning, Dynamical Systems, and Control",Cambridge University Press,J. Nathan Kutz & Steven L. Brunton,2019
Provenance in Data Science: From Data Models to Context-Aware Knowledge Graphs,Springer Nature,"Leslie F. Sikos, Oshani W. Seneviratne, Deborah L. McGuinness (editors)",2021
Quantitative Analysis for System Applications: Data Science and Analytics Tools and Techniques,Technics Publications,Daniel A. McGrath Ph.D. [Daniel A. McGrath Ph.D.],2018
"Data Science Thinking: The Next Scientific, Technological and Economic Revolution",Springer International Publishing,Longbing Cao,2018
Data Science Design manual,Springer,Stevven S Skiena,2017
Scala for Data Science,Packt Publishing,Pascal Bugnion,2016
Fundamentals of Well-Log Interpretation1. The Acquisition of Logging Data,Elsevier Science,O. Serra (Eds.),1984
Advances in Data Science: Methodologies and Applications,Springer International Publishing;Springer,"Gloria Phillips-Wren, Anna Esposito, Lakhmi C. Jain",2021
"Exploratory Data Analysis with MATLAB, Second Edition (Chapman & Hall CRC Computer Science & Data Analysis)",CRC Press,"Wendy L. Martinez, Angel Martinez, Jeffrey Solka",2010
Research Data Access And Management In Modern Libraries,Information Science Reference/IGI Global,"Raj Kumar Bhardwaj, Paul Banks",2019
Python for Data Science For Dummies,For Dummies,"Massaron, Luca, John Paul Mueller",2019
"Data Science at the Command Line, 2nd Edition","O'Reilly Media, Inc.",Jeroen Janssens [Jeroen Janssens],2021
Mastering Python for Data Science,Packt Publishing,Samir Madhavan,2015
Data Science for Supply Chain Forecasting,De Gruyter,Nicolas Vandeput,2021
Python NumPy for Beginners: NumPy Specialization for Data Science (Python for Beginners in Data Science and Data Analysis Book 1),AI Publishing LLC,"Publishing, AI",2022
Marketing Data Science: Modeling Techniques in Predictive Analytics with R and Python,Pearson Education,Thomas W. Miller,2015
Python data science cookbook : over 60 practical recipes to help you explore Python and its robust data science capabilities,Packt Publishing,"Subramanian, Gopi",2015
Mastering Data Analysis with R: Gain sharp insights into your data and solve real-world data science problems with R—from data munging to modeling and visualization,Packt Publishing,Gergely Daroczi,2015
"Artificial Intelligence A-Z: Learn How To Build An AI: Combine the power of Data Science, Machine Learning and Deep Learning to create powerful AI for Real-World applications",nan,Nileriver Publications,2020
